Orthogroup	Chlorella_Vulgaris2111P	Chlorella_KRBP
OG0000565	KAI3425981.1 hypothetical protein D9Q98_007949 [Chlorella vulgaris], KAI3425980.1 hypothetical protein D9Q98_007948 [Chlorella vulgaris]	QAXK01012018.1_21-2846
OG0000572	KAI3434899.1 hypothetical protein D9Q98_002953 [Chlorella vulgaris], KAI3434894.1 hypothetical protein D9Q98_002948 [Chlorella vulgaris]	QAXK01002353.1_6519-15187
OG0000573	KAI3430859.1 hypothetical protein D9Q98_009268 [Chlorella vulgaris], KAI3430849.1 hypothetical protein D9Q98_009259 [Chlorella vulgaris]	QAXK01003348.1_1486-6
OG0000577	KAI3428754.1 hypothetical protein D9Q98_007576 [Chlorella vulgaris], KAI3428755.1 hypothetical protein D9Q98_007577 [Chlorella vulgaris]	QAXK01003132.1_5372-2862
OG0000585	KAI3425261.1 hypothetical protein D9Q98_009029 [Chlorella vulgaris], KAI3425268.1 hypothetical protein D9Q98_009035 [Chlorella vulgaris]	QAXK01002652.1_31218-33264
OG0000586	KAI3427930.1 hypothetical protein D9Q98_006322 [Chlorella vulgaris], KAI3435961.1 hypothetical protein D9Q98_002019 [Chlorella vulgaris]	QAXK01001200.1_17606-19818
OG0000594	KAI3438027.1 hypothetical protein D9Q98_000470 [Chlorella vulgaris], KAI3438024.1 hypothetical protein D9Q98_000467 [Chlorella vulgaris]	QAXK01013585.1_2213-468
OG0000595	KAI3437877.1 hypothetical protein D9Q98_000323 [Chlorella vulgaris], KAI3436354.1 hypothetical protein D9Q98_002407 [Chlorella vulgaris]	QAXK01010664.1_1473-417
OG0000611	KAI3434679.1 hypothetical protein D9Q98_002743 [Chlorella vulgaris], KAI3434670.1 hypothetical protein D9Q98_002734 [Chlorella vulgaris]	QAXK01011586.1_4054-3461
OG0000616	KAI3435946.1 hypothetical protein D9Q98_002004 [Chlorella vulgaris], KAI3432435.1 hypothetical protein D9Q98_003988 [Chlorella vulgaris], KAI3432436.1 hypothetical protein D9Q98_003989 [Chlorella vulgaris]	QAXK01001265.1_8774-9883
OG0000618	KAI3438568.1 hypothetical protein D9Q98_000995 [Chlorella vulgaris], KAI3438569.1 hypothetical protein D9Q98_000996 [Chlorella vulgaris]	QAXK01000835.1_1-309
OG0000626	KAI3436093.1 hypothetical protein D9Q98_002151 [Chlorella vulgaris], KAI3430569.1 hypothetical protein D9Q98_005162 [Chlorella vulgaris]	QAXK01003230.1_4778-8012
OG0000635	KAI3428114.1 hypothetical protein D9Q98_006497 [Chlorella vulgaris]	QAXK01004870.1_4878-5513
OG0000637	KAI3425086.1 hypothetical protein D9Q98_008464 [Chlorella vulgaris], KAI3432760.1 hypothetical protein D9Q98_004300 [Chlorella vulgaris]	QAXK01001575.1_13855-13334
OG0000638	KAI3432606.1 hypothetical protein D9Q98_004153 [Chlorella vulgaris]	QAXK01010124.1_10448-8669
OG0000649	KAI3436300.1 hypothetical protein D9Q98_002353 [Chlorella vulgaris], KAI3436301.1 hypothetical protein D9Q98_002354 [Chlorella vulgaris]	QAXK01000254.1_6101-3555
OG0000653	KAI3428422.1 hypothetical protein D9Q98_007249 [Chlorella vulgaris], KAI3428423.1 hypothetical protein D9Q98_007250 [Chlorella vulgaris]	QAXK01000123.1_7289-10291
OG0000654	KAI3433576.1 hypothetical protein D9Q98_003387 [Chlorella vulgaris], KAI3433577.1 hypothetical protein D9Q98_003388 [Chlorella vulgaris]	QAXK01000799.1_92299-89512
OG0000660	KAI3428772.1 hypothetical protein D9Q98_007593 [Chlorella vulgaris], KAI3428771.1 hypothetical protein D9Q98_007592 [Chlorella vulgaris]	QAXK01014960.1_11495-10348
OG0000661	KAI3430851.1 hypothetical protein D9Q98_009261 [Chlorella vulgaris], KAI3430852.1 hypothetical protein D9Q98_009262 [Chlorella vulgaris]	QAXK01004242.1_3727-7707
OG0000662	KAI3429858.1 hypothetical protein D9Q98_010169 [Chlorella vulgaris], KAI3423953.1 hypothetical protein D9Q98_009787 [Chlorella vulgaris]	QAXK01000452.1_6301-4533
OG0000664	KAI3436681.1 hypothetical protein D9Q98_006097 [Chlorella vulgaris], KAI3436682.1 hypothetical protein D9Q98_006098 [Chlorella vulgaris]	QAXK01015723.1_3192-4172
OG0000671	KAI3438602.1 hypothetical protein D9Q98_001025 [Chlorella vulgaris]	QAXK01001535.1_15806-14316
OG0000676	KAI3438591.1 hypothetical protein D9Q98_001015 [Chlorella vulgaris], KAI3435824.1 hypothetical protein D9Q98_001882 [Chlorella vulgaris]	QAXK01015338.1_519-166
OG0000678	KAI3431398.1 hypothetical protein D9Q98_004451 [Chlorella vulgaris], KAI3431397.1 hypothetical protein D9Q98_004450 [Chlorella vulgaris]	QAXK01001500.1_1992-2978
OG0000679	KAI3431464.1 hypothetical protein D9Q98_004516 [Chlorella vulgaris], KAI3431463.1 hypothetical protein D9Q98_004515 [Chlorella vulgaris]	QAXK01006881.1_8512-9541
OG0000688	KAI3428208.1 hypothetical protein D9Q98_006588 [Chlorella vulgaris], KAI3428209.1 hypothetical protein D9Q98_006589 [Chlorella vulgaris]	QAXK01003305.1_27047-24211
OG0000689	KAI3429866.1 hypothetical protein D9Q98_010177 [Chlorella vulgaris]	QAXK01001638.1_16082-13313
OG0000691	KAI3428322.1 hypothetical protein D9Q98_006702 [Chlorella vulgaris], KAI3428321.1 hypothetical protein D9Q98_006701 [Chlorella vulgaris]	QAXK01001186.1_10565-8532
OG0000693	KAI3428380.1 hypothetical protein D9Q98_006760 [Chlorella vulgaris], KAI3428361.1 hypothetical protein D9Q98_006741 [Chlorella vulgaris]	QAXK01008377.1_3630-1851
OG0000694	KAI3436883.1 hypothetical protein D9Q98_006291 [Chlorella vulgaris], KAI3436885.1 hypothetical protein D9Q98_006293 [Chlorella vulgaris]	QAXK01012986.1_3546-2582
OG0000697	KAI3438535.1 hypothetical protein D9Q98_000963 [Chlorella vulgaris], KAI3438534.1 hypothetical protein D9Q98_000962 [Chlorella vulgaris]	QAXK01000899.1_15443-14285
OG0000704	KAI3429349.1 hypothetical protein D9Q98_005444 [Chlorella vulgaris], KAI3429350.1 hypothetical protein D9Q98_005445 [Chlorella vulgaris]	QAXK01006701.1_1896-1296
OG0000730	KAI3438510.1 hypothetical protein D9Q98_000938 [Chlorella vulgaris], KAI3438509.1 hypothetical protein D9Q98_000937 [Chlorella vulgaris]	QAXK01001551.1_59690-63747
OG0000732	KAI3426990.1 hypothetical protein D9Q98_006934 [Chlorella vulgaris], KAI3426986.1 hypothetical protein D9Q98_006930 [Chlorella vulgaris], KAI3426989.1 hypothetical protein D9Q98_006933 [Chlorella vulgaris]	QAXK01003652.1_16558-15646
OG0000734	KAI3431603.1 hypothetical protein D9Q98_004653 [Chlorella vulgaris]	QAXK01007307.1_6962-7960
OG0000735	KAI3438882.1 hypothetical protein D9Q98_001297 [Chlorella vulgaris], KAI3438880.1 hypothetical protein D9Q98_001295 [Chlorella vulgaris]	QAXK01011105.1_8336-6488
